iter	Logloss
0	0.6520520342
1	0.61002037
2	0.5789475031
3	0.5498263414
4	0.5292347865
5	0.5029432746
6	0.4794398758
7	0.4589380383
8	0.442189606
9	0.4272785941
10	0.413030647
11	0.3980390083
12	0.3891925175
13	0.3812462399
14	0.3747491813
15	0.3666855796
16	0.3598171776
17	0.3538018168
18	0.3492549835
19	0.3440316229
20	0.3399190067
21	0.3356032906
22	0.3319410935
23	0.3276483
24	0.324513648
25	0.3221855994
26	0.3205323124
27	0.3183142769
28	0.3159612485
29	0.3142843523
30	0.3116825499
31	0.3106567184
32	0.3092117751
33	0.3078116875
34	0.3063851944
35	0.3059429298
36	0.3051034911
37	0.3033609138
38	0.3023897167
39	0.3016061602
40	0.3005082909
41	0.2990806613
42	0.2983476476
43	0.2978203513
44	0.2972823687
45	0.2964068247
46	0.2956660102
47	0.2947440085
48	0.29388986
49	0.2926802766
50	0.2918917634
51	0.2913243304
52	0.2906481423
53	0.2896670101
54	0.289294454
55	0.2890732256
56	0.2887176843
57	0.2883202259
58	0.2882570829
59	0.2875421373
60	0.2870990047
61	0.2866622042
62	0.2861732594
63	0.2858320923
64	0.2849004185
65	0.2847380604
66	0.2845401916
67	0.2843313839
68	0.2839089624
69	0.2835841095
70	0.2833542985
71	0.2829371962
72	0.2827543746
73	0.2826340484
74	0.2825348172
75	0.2817207096
76	0.2811200821
77	0.280779157
78	0.2805016204
79	0.2800625546
80	0.2799119629
81	0.2797061436
82	0.2793106282
83	0.2790665611
84	0.2789776549
85	0.2787246856
86	0.2785605701
87	0.2780958922
88	0.2775364357
89	0.2773883296
90	0.2770970189
91	0.2769121989
92	0.2767467641
93	0.2763436727
94	0.2762870506
95	0.276045762
96	0.2759232031
97	0.2755724013
98	0.2753807725
99	0.2752039469
100	0.2744730605
101	0.274292343
102	0.274060014
103	0.2740215549
104	0.2739229163
105	0.2735701803
106	0.273525163
107	0.2733551232
108	0.2733077729
109	0.2732156997
110	0.2730257506
111	0.2728920394
112	0.2727677132
113	0.2727078649
114	0.2724494413
115	0.2723936943
116	0.2721779068
117	0.2719902323
118	0.2718014426
119	0.2715998765
120	0.2715650637
121	0.2715564471
122	0.27144478
123	0.2714331944
124	0.27101222
125	0.2708676404
126	0.2708397007
127	0.2708343348
128	0.2707886903
129	0.2704703288
130	0.270334593
131	0.2702537753
132	0.2700303411
133	0.2699066616
134	0.2698930188
135	0.2698821949
136	0.2698044577
137	0.2696008854
138	0.2694495819
139	0.2694235168
140	0.2691985391
141	0.2691217782
142	0.2690897744
143	0.2685896566
144	0.2685275672
145	0.268211646
146	0.2681452774
147	0.2679360436
148	0.2678452587
149	0.2677113579
150	0.2676344525
151	0.2675962406
152	0.2675348484
153	0.2674377332
154	0.2673609434
155	0.2668842648
156	0.2668200519
157	0.2667478969
158	0.2666549409
159	0.2665063273
160	0.2664528979
161	0.2664512737
162	0.2663903826
163	0.2660500743
164	0.2659772276
165	0.2659081104
166	0.2658027958
167	0.265774912
168	0.2657646852
169	0.2657061677
170	0.2656882468
171	0.2656533091
172	0.2656520024
173	0.2656088662
174	0.2655417518
175	0.2653181497
176	0.2650661124
177	0.2649468496
178	0.2648640819
179	0.2646694052
180	0.2646290632
181	0.2645969521
182	0.2645967447
183	0.2645160829
184	0.2644765339
185	0.2644061663
186	0.2642069762
187	0.2641408419
188	0.2641012279
189	0.2640288921
190	0.2638722096
191	0.2634272592
192	0.263236299
193	0.2630463388
194	0.2630131915
195	0.2628912881
196	0.2627823587
197	0.262665961
198	0.2624548011
199	0.2623272603
200	0.2622531403
201	0.2622386568
202	0.2621526697
203	0.2619280929
204	0.2619240067
205	0.2612782968
206	0.2608273717
207	0.2605841219
208	0.2604106995
209	0.2599774141
210	0.2598361974
211	0.2597037251
212	0.2593659086
213	0.2592550047
214	0.2591993264
215	0.2590902283
216	0.2590345332
217	0.2587429514
218	0.2587412178
219	0.2586758257
220	0.2585871083
221	0.2585280344
222	0.2585267521
223	0.2583779915
224	0.2581231379
225	0.2580398665
226	0.2579902579
227	0.2579876592
228	0.2578068599
229	0.257779129
230	0.2577504245
231	0.2575957694
232	0.2574065576
233	0.2573744638
234	0.2571598194
235	0.2571022878
236	0.2570879579
237	0.2568441822
238	0.2566735705
239	0.2564610612
240	0.2561566602
241	0.2560114987
242	0.2559303053
243	0.2559195628
244	0.2557070883
245	0.2554851601
246	0.2554839252
247	0.2552939027
248	0.2551138039
249	0.254943513
250	0.2549324045
251	0.2549014021
252	0.2549002977
253	0.2545826644
254	0.2542922441
255	0.2541749404
256	0.2540830871
257	0.2539144087
258	0.2538802434
259	0.2538477882
260	0.2538467663
261	0.2538153041
262	0.2538142839
263	0.2536317657
264	0.253498219
265	0.2534351087
266	0.2534319783
267	0.2534078106
268	0.2533874525
269	0.2531798667
270	0.2531777328
271	0.2529490903
272	0.252795014
273	0.2527740572
274	0.2525957302
275	0.2525925626
276	0.252569679
277	0.2524251164
278	0.2524242204
279	0.2524233906
280	0.2522715203
281	0.2520480747
282	0.2520399544
283	0.251911382
284	0.2519093809
285	0.2517509228
286	0.2517500409
287	0.2517474271
288	0.2516238546
289	0.2515401209
290	0.2514212999
291	0.2514141772
292	0.251246107
293	0.2512422725
294	0.25123179
295	0.2510618282
296	0.250877446
297	0.2508478719
298	0.2507283434
299	0.2507029484
300	0.2506617949
301	0.250502781
302	0.250423082
303	0.2504199827
304	0.2502990156
305	0.2501829132
306	0.2501124268
307	0.2501095779
308	0.2499719122
309	0.2495733574
310	0.2495266578
311	0.2494364941
312	0.2493946161
313	0.2493692853
314	0.2493384314
315	0.2493149722
316	0.2492207756
317	0.2490640052
318	0.2489449637
319	0.248777192
320	0.2487766454
321	0.248675636
322	0.2486741264
323	0.2486699066
324	0.2486044685
325	0.248544595
326	0.2485290137
327	0.2483306942
328	0.2483284912
329	0.248227373
330	0.2481259639
331	0.2479992773
332	0.2479570751
333	0.2478146329
334	0.2477599412
335	0.2476517119
336	0.2476333612
337	0.2476083232
338	0.2475534542
339	0.2475366108
340	0.2473267292
341	0.2470098389
342	0.246831232
343	0.246673803
344	0.2465960463
345	0.2465233009
346	0.2465218203
347	0.2464611649
348	0.2464573995
349	0.2464022813
350	0.2463143004
351	0.2463111286
352	0.2462662058
353	0.246249285
354	0.2462029723
355	0.2461071256
356	0.2460442123
357	0.2460293605
358	0.2458083969
359	0.2456257729
360	0.2454330617
361	0.2454208636
362	0.2454088048
363	0.2453953405
364	0.2451899559
365	0.2451789347
366	0.2451639288
367	0.245133858
368	0.2450470983
369	0.2449339145
370	0.244885036
371	0.2447666762
372	0.2447275486
373	0.2446575223
374	0.2446307049
375	0.2446205539
376	0.2443615909
377	0.2443188776
378	0.2442661486
379	0.2441226118
380	0.2441209158
381	0.2440358307
382	0.2439951911
383	0.2439911967
384	0.2439562631
385	0.2439307339
386	0.2437852094
387	0.2434822316
388	0.2434289521
389	0.2433929372
390	0.2433767573
391	0.2433198009
392	0.2432925041
393	0.2431159384
394	0.2429901166
395	0.2428727131
396	0.2428531995
397	0.2428526121
398	0.2428280197
399	0.2427394957
400	0.2427069146
401	0.2425464806
402	0.24243783
403	0.2422934672
404	0.2422103538
405	0.2421954349
406	0.2421791038
407	0.2421541615
408	0.2421369494
409	0.2420462452
410	0.2418154596
411	0.2416551293
412	0.2415431437
413	0.2414618953
414	0.2413446526
415	0.2411044506
416	0.240916817
417	0.2409051467
418	0.2408297436
419	0.2407353576
420	0.2406962322
421	0.2406590543
422	0.240659021
423	0.2405729748
424	0.2404658213
425	0.240465274
426	0.240428635
427	0.240415501
428	0.2402294414
429	0.240182993
430	0.2401252781
431	0.2400593948
432	0.2398598401
433	0.2398283579
434	0.2398083338
435	0.2396592289
436	0.2395135133
437	0.239377232
438	0.2393315622
439	0.2393306691
440	0.23931919
441	0.2393179679
442	0.239216119
443	0.2391569713
444	0.2390735661
445	0.2388340671
